candidate_id,rank,score,reasoning
CAND_0068811,1,1.55,"Excellent candidate with 8.0y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0006418,2,1.54,"Excellent candidate with 5.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0017960,3,1.54,"Excellent candidate with 7.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0018499,4,1.52,"Excellent candidate with 7.2y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0041610,5,1.52,"Excellent candidate with 6.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0007009,6,1.51,"Excellent candidate with 7.9y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0027691,7,1.51,"Excellent candidate with 6.5y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0052431,8,1.5,"Excellent candidate with 5.3y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0011687,9,1.49,"Excellent candidate with 7.8y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0067866,10,1.48,"Excellent candidate with 6.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0068932,11,1.48,"Excellent candidate with 5.2y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0045250,12,1.47,"Excellent candidate with 6.6y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0081846,13,1.47,"Excellent candidate with 6.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0094759,14,1.47,"Excellent candidate with 8.6y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0049538,15,1.45,"Excellent candidate with 5.8y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0054100,16,1.45,"Excellent candidate with 6.0y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0064326,17,1.45,"Excellent candidate with 7.6y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0077337,18,1.45,"Excellent candidate with 7.0y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0043860,19,1.43,"Excellent candidate with 6.1y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0064888,20,1.43,"Excellent candidate with 5.8y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0065195,21,1.43,"Excellent candidate with 5.1y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0064270,22,1.42,"Excellent candidate with Embeddings/Vector DB/Ranking/LLM/Python, Production experience, Product company background, and Local in Pune/Noida."
CAND_0015967,23,1.4,"Excellent candidate with 5.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0050454,24,1.4,"Excellent candidate with 6.8y experience, Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0053591,25,1.4,"Excellent candidate with 5.3y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0077498,26,1.4,"Excellent candidate with 5.4y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0097079,27,1.4,"Excellent candidate with 5.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0099401,28,1.4,"Excellent candidate with 7.7y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
CAND_0041669,29,1.39,"Excellent candidate with 8.0y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0054123,30,1.39,"Excellent candidate with Embeddings/Vector DB/Ranking/LLM/Python, Production experience, Product company background, and Tier-1 city resident."
CAND_0087630,31,1.39,"Excellent candidate with 7.2y experience, Embeddings/Vector DB/Ranking/LLM, Production experience, and Product company background."
CAND_0013665,32,1.38,"Excellent candidate with 5.2y experience, Embeddings/Vector DB/Ranking/LLM/Python, Production experience, and Product company background."
